Variant SKU,Title,Image Column,Original URL,Local Filename,Local Path,Spoke colour,Hub colour,Rim colour,Price
ENVY-DID GOLD-SILVER,ENVY-DID GOLD-SILVER,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_SILVER-PAIR-1.jpg?v=1742809240,ENVY-DID-GOLD_SILVER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_SILVER-PAIR-1.jpg,Silver,Silver,Gold,10.5
ENVY-DID GOLD-SILVER,ENVY-DID GOLD-SILVER,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_SILVER-PAIR-1.jpg?v=1742809240,ENVY-DID-GOLD_SILVER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_SILVER-PAIR-1.jpg,Silver,Silver,Gold,10.5
ENVY-DID GOLD-TITAN,ENVY-DID GOLD-TITAN,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_TITAN-PAIR-1.jpg?v=1742809140,ENVY-DID-GOLD_TITAN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_TITAN-PAIR-1.jpg,Silver,Titan,Gold,10.5
ENVY-DID GOLD-TITAN,ENVY-DID GOLD-TITAN,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_TITAN-PAIR-1.jpg?v=1742809140,ENVY-DID-GOLD_TITAN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_TITAN-PAIR-1.jpg,Silver,Titan,Gold,10.5
ENVY-DID SILVER-BLUE,ENVY-DID SILVER-BLUE,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_BLUE-PAIR-1.jpg?v=1742809042,ENVY-DID-SILVER_BLUE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_BLUE-PAIR-1.jpg,Silver,Blue,Silver,10.5
ENVY-DID SILVER-BLUE,ENVY-DID SILVER-BLUE,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_BLUE-PAIR-1.jpg?v=1742809042,ENVY-DID-SILVER_BLUE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_BLUE-PAIR-1.jpg,Silver,Blue,Silver,10.5
ENVY-DID SILVER-GREEN,ENVY-DID SILVER-GREEN,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_GREEN-PAIR-1.jpg?v=1742808929,ENVY-DID-SILVER_GREEN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_GREEN-PAIR-1.jpg,Silver,Green,Silver,10.5
ENVY-DID SILVER-GREEN,ENVY-DID SILVER-GREEN,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_GREEN-PAIR-1.jpg?v=1742808929,ENVY-DID-SILVER_GREEN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_GREEN-PAIR-1.jpg,Silver,Green,Silver,10.5
ENVY-DID SILVER-GOLD,ENVY-DID SILVER-GOLD,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_GOLD-PAIR-1.jpg?v=1742605207,ENVY-DID-SILVER_GOLD-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_GOLD-PAIR-1.jpg,Silver,Gold,Silver,10.5
ENVY-DID SILVER-GOLD,ENVY-DID SILVER-GOLD,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_GOLD-PAIR-1.jpg?v=1742605207,ENVY-DID-SILVER_GOLD-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_GOLD-PAIR-1.jpg,Silver,Gold,Silver,10.5
ENVY-DID SILVER-SILVER,ENVY-DID SILVER-SILVER,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_SILVER-PAIR-1.jpg?v=1742605066,ENVY-DID-SILVER_SILVER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_SILVER-PAIR-1.jpg,Silver,Silver,Silver,10.5
ENVY-DID SILVER-SILVER,ENVY-DID SILVER-SILVER,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_SILVER-PAIR-1.jpg?v=1742605066,ENVY-DID-SILVER_SILVER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_SILVER-PAIR-1.jpg,Silver,Silver,Silver,10.5
ENVY-DID SILVER-TITAN,ENVY-DID SILVER-TITAN,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_TITAN-PAIR-1.jpg?v=1742604960,ENVY-DID-SILVER_TITAN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_TITAN-PAIR-1.jpg,Silver,Titan,Silver,10.5
