Variant SKU,Title,Image Column,Original URL,Local Filename,Local Path
ENVY-DID-BLUE-BLUE,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_BLUE-PAIR-1.jpg?v=1742810291,ENVY-DID-BLUE_BLUE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_BLUE-PAIR-1.jpg
ENVY-DID-BLUE-BLUE,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_BLUE-PAIR-1.jpg?v=1742810291,ENVY-DID-BLUE_BLUE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_BLUE-PAIR-1.jpg
ENVY-DID BLUE-ORANGE,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_ORANGE-PAIR-1.jpg?v=1742810214,ENVY-DID-BLUE_ORANGE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_ORANGE-PAIR-1.jpg
ENVY-DID BLUE-ORANGE,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_ORANGE-PAIR-1.jpg?v=1742810214,ENVY-DID-BLUE_ORANGE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_ORANGE-PAIR-1.jpg
ENVY-DID BLUE-GOLD,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_GOLD-PAIR-1.jpg?v=1742810128,ENVY-DID-BLUE_GOLD-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_GOLD-PAIR-1.jpg
ENVY-DID BLUE-GOLD,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_GOLD-PAIR-1.jpg?v=1742810128,ENVY-DID-BLUE_GOLD-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_GOLD-PAIR-1.jpg
ENVY-DID BLUE-SILVER,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_SILVER-PAIR-1.jpg?v=1742810029,ENVY-DID-BLUE_SILVER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_SILVER-PAIR-1.jpg
ENVY-DID BLUE-SILVER,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_SILVER-PAIR-1.jpg?v=1742810029,ENVY-DID-BLUE_SILVER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_SILVER-PAIR-1.jpg
ENVY-DID BLUE-TITAN,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_TITAN-PAIR-1.jpg?v=1742809919,ENVY-DID-BLUE_TITAN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_TITAN-PAIR-1.jpg
ENVY-DID BLUE-TITAN,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-BLUE_TITAN-PAIR-1.jpg?v=1742809919,ENVY-DID-BLUE_TITAN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-BLUE_TITAN-PAIR-1.jpg
ENVY-DID GOLD-BLUE,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_BLUE-PAIR-1.jpg?v=1742809824,ENVY-DID-GOLD_BLUE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_BLUE-PAIR-1.jpg
ENVY-DID GOLD-BLUE,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_BLUE-PAIR-1.jpg?v=1742809824,ENVY-DID-GOLD_BLUE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_BLUE-PAIR-1.jpg
ENVY-DID GOLD-GREEN,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_GREEN-PAIR-1.jpg?v=1742809669,ENVY-DID-GOLD_GREEN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_GREEN-PAIR-1.jpg
ENVY-DID GOLD-GREEN,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_GREEN-PAIR-1.jpg?v=1742809669,ENVY-DID-GOLD_GREEN-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_GREEN-PAIR-1.jpg
ENVY-DID SILVER-ORANGE,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_ORANGE-PAIR-1.jpg?v=1742809567,ENVY-DID-SILVER_ORANGE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_ORANGE-PAIR-1.jpg
ENVY-DID SILVER-ORANGE,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-SILVER_ORANGE-PAIR-1.jpg?v=1742809567,ENVY-DID-SILVER_ORANGE-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-SILVER_ORANGE-PAIR-1.jpg
ENVY-DID GOLD-GOLD,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_GOLD-PAIR-1.jpg?v=1742809475,ENVY-DID-GOLD_GOLD-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_GOLD-PAIR-1.jpg
ENVY-DID GOLD-GOLD,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_GOLD-PAIR-1.jpg?v=1742809475,ENVY-DID-GOLD_GOLD-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_GOLD-PAIR-1.jpg
ENVY-DID GOLD-SILVER,,IMAGE_1,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_SILVER-PAIR-1.jpg?v=1742809240,ENVY-DID-GOLD_SILVER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_SILVER-PAIR-1.jpg
ENVY-DID GOLD-SILVER,,IMAGE_2,https://cdn.shopify.com/s/files/1/0592/0676/2540/files/ENVY-DID-GOLD_SILVER-PAIR-1.jpg?v=1742809240,ENVY-DID-GOLD_SILVER-PAIR-1.jpg,assets\images\envy-did\ENVY-DID-GOLD_SILVER-PAIR-1.jpg
